Date	Close	Open	High	Low	Volume	Chg%
Oct 28, 2016	30,131	30,045	30,181	29,710	12.75K	0.26%
Oct 27, 2016	30,054	29,910	30,080	29,910	5.85K	0.47%
Oct 26, 2016	29,913	30,053	30,151	29,880	8.05K	-0.40%
Oct 25, 2016	30,034	29,852	30,090	29,716	8.20K	0.72%
Oct 24, 2016	29,820	29,910	29,980	29,766	12.86K	-0.39%
Oct 21, 2016	29,936	29,835	29,960	29,800	7.31K	0.15%
Oct 20, 2016	29,891	29,950	30,049	29,857	10.01K	0.03%
Oct 19, 2016	29,883	29,760	29,969	29,740	10.19K	0.37%
Oct 18, 2016	29,773	29,700	29,830	29,671	11.12K	0.33%
Oct 17, 2016	29,675	29,651	29,707	29,584	6.55K	0.12%
